Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0157629137413307,-7.34491083326415E-05,-0.0591824473755171,0,0,0,5.90206584561033,0.0153178237894157,-1.11287632290923E-05,0.00015800123692945,0.0150241686039219,1.12054268097266E-06,0.0201501649366448,0,0,0,0,0,0,package://qmini_description/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://qmini_description/meshes/base_link.STL,,小型双足机器人 右侧腿部总成-1/MOTOR-GO_M8010_6-1;小型双足机器人 左侧腿部总成-1/MOTOR-GO_M8010_6-1;小型双足机器人-下壳-1;unitree-go1-battery-pack-model-2;顶部提手-1;树莓派固定件-1;board-radxa-rock-5b+-1;MOTOR-GO_M8010_6-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_yaw_l_link,0.00165647640151256,0.00181296981158362,-0.0717991168879709,0,0,0,0.802589402885363,0.00107093055215153,1.48647380567536E-06,-5.16381353726266E-06,0.000540544347164448,-2.11002442250365E-05,0.00064483814036061,0,0,0,0,0,0,package://qmini_description/meshes/hip_yaw_l_link.STL,1,1,1,1,0,0,0,0,0,0,package://qmini_description/meshes/hip_yaw_l_link.STL,,小型双足机器人 左侧腿部总成-1/小型双足机器人-左腿跨部电机座-1;小型双足机器人 左侧腿部总成-1/MOTOR-GO_M8010_6-2;小型双足机器人 左侧腿部总成-1/圆柱齿轮27×2-1,hip_yaw_l,axis_hip_yaw_l,hip_yaw_l,revolute,0.0135936510211813,0.0550000626641943,-0.0350999999999998,0,0,0,base_link,0,0,-1,20,30,-0.5,0.35,,,1,0.01,,,,
hip_roll_l_link,-0.00389005044212911,-0.0195082048136588,1.56234228611829E-05,0,0,0,0.144022608554608,0.000305184757808118,-3.31055956781217E-05,-1.49717108598072E-10,0.000117250041002948,-1.0348983566969E-07,0.000230691625313739,0,0,0,0,0,0,package://qmini_description/meshes/hip_roll_l_link.STL,1,1,1,1,0,0,0,0,0,0,package://qmini_description/meshes/hip_roll_l_link.STL,,小型双足机器人 左侧腿部总成-1/小型双足机器人-髋关节-侧摆连接件-1,hip_roll_l,axis_hip_roll_l,hip_roll_l,revolute,0.0325000000000028,0.0540000000000005,-0.073,0,0,0,hip_yaw_l_link,1,0,0,60,10,-0.45,0.45,,,1,0.07,,,,
hip_pitch_l_link,-0.0370853727121926,0.0199872162854045,-0.0440851720384146,0,0,0,1.54138166088268,0.00220626762376399,5.37498356278494E-07,0.000720959409903306,0.00403901039975133,-1.32675416495304E-06,0.00198850519863088,0,0,0,0,0,0,package://qmini_description/meshes/hip_pitch_l_link.STL,1,1,1,1,0,0,0,0,0,0,package://qmini_description/meshes/hip_pitch_l_link.STL,,小型双足机器人 左侧腿部总成-1/小型双足机器人-左侧大腿-1;小型双足机器人 左侧腿部总成-1/MOTOR-GO_M8010_6-3;小型双足机器人 左侧腿部总成-1/MOTOR-GO_M8010_6-4,hip_pitch_l,axis_hip_pitch_l,hip_pitch_l,revolute,-0.0160000000000013,0.028,0,0,0,0,hip_roll_l_link,0,1,0,20,30,-0.6,1.45,,,0.4,0.03,,,,
knee_pitch_l_link,0.0432278023109246,-0.00109981773328491,-0.119229853753992,0,0,0,0.882230006451168,0.00106518818243287,1.83160319626554E-05,-0.00014997138188366,0.00168838276673424,-5.19014420847032E-05,0.000718007813839056,0,0,0,0,0,0,package://qmini_description/meshes/knee_pitch_l_link.STL,1,1,1,1,0,0,0,0,0,0,package://qmini_description/meshes/knee_pitch_l_link.STL,,小型双足机器人 左侧腿部总成-1/小型双足机器人-左侧小腿-1;小型双足机器人 左侧腿部总成-1/MOTOR-GO_M8010_6-5,knee_pitch_l,axis_knee_pitch_l,knee_pitch_l,revolute,-0.073920575113949,0,-0.0880951109586866,0,0,0,hip_pitch_l_link,0,-1,0,20,30,-1.1,1.05,,,1,0.01,,,,
ankle_pitch_l_link,0.0160200336285524,-0.00588739541300684,-0.0429771308289361,0,0,0,0.44945849105282,0.000309169731140671,-4.94835435928686E-06,-1.90480560082451E-06,0.00128546850505189,1.21715229494537E-05,0.00101651373552004,0,0,0,0,0,0,package://qmini_description/meshes/ankle_pitch_l_link.STL,1,1,1,1,0,0,0,0,0,0,package://qmini_description/meshes/ankle_pitch_l_link.STL,,小型双足机器人 左侧腿部总成-1/小型双足机器人-左脚-1,ankle_pitch_l,axis_ankle_pitch_l,ankle_pitch_l,revolute,0.0530131222154821,0.0211000000000001,-0.145652356221812,0,0,0,knee_pitch_l_link,0,1,0,20,30,-1.6,1.05,,,0.8,0.01,,,,
hip_yaw_r_link,0.00165648886918373,-0.00146564825057634,-0.0717991334362604,0,0,0,0.802588717539285,0.00107092962090079,-4.07622705170627E-07,-5.16387568638328E-06,0.000540544477747548,2.773698846963E-05,0.000644837482831552,0,0,0,0,0,0,package://qmini_description/meshes/hip_yaw_r_link.STL,1,1,1,1,0,0,0,0,0,0,package://qmini_description/meshes/hip_yaw_r_link.STL,,小型双足机器人 右侧腿部总成-1/镜向小型双足机器人-左腿跨部电机座-1;小型双足机器人 右侧腿部总成-1/镜向圆柱齿轮27×2-1;小型双足机器人 右侧腿部总成-1/MOTOR-GO_M8010_6-2,hip_yaw_r,axis_hip_yaw_r,hip_yaw_r,revolute,0.0135936510211862,-0.0549999373358046,-0.0350999999999998,0,0,0,base_link,0,0,-1,20,30,-0.35,0.5,,,1,0.01,,,,
hip_roll_r_link,-0.00389003935560397,0.0195082319574152,1.56088872017568E-05,0,0,0,0.144022449768194,0.000305184633340009,3.31055617352024E-05,-1.32897665535591E-10,0.000117250016853225,1.03545111651318E-07,0.00023069150460525,0,0,0,0,0,0,package://qmini_description/meshes/hip_roll_r_link.STL,1,1,1,1,0,0,0,0,0,0,package://qmini_description/meshes/hip_roll_r_link.STL,,小型双足机器人 右侧腿部总成-1/镜向小型双足机器人-髋关节-侧摆连接件-1,hip_roll_r,axis_hip_roll_r,hip_roll_r,revolute,0.0324999999999978,-0.0540000000000006,-0.0729999999999999,0,0,0,hip_yaw_r_link,1,0,0,60,10,-0.45,0.45,,,1,0.07,,,,
hip_pitch_r_link,-0.0370855936653168,-0.0199872132282467,-0.0440851410336457,0,0,0,1.54138123257867,0.00221933289294606,-5.37817808725351E-07,0.000718651072884335,0.00403900062726467,1.32636957755936E-06,0.00197542996710105,0,0,0,0,0,0,package://qmini_description/meshes/hip_pitch_r_link.STL,1,1,1,1,0,0,0,0,0,0,package://qmini_description/meshes/hip_pitch_r_link.STL,,小型双足机器人 右侧腿部总成-1/镜向小型双足机器人-左侧大腿-1;小型双足机器人 右侧腿部总成-1/MOTOR-GO_M8010_6-3;小型双足机器人 右侧腿部总成-1/MOTOR-GO_M8010_6-4,hip_pitch_r,axis_hip_pitch_r,hip_pitch_r,revolute,-0.0159999999999998,-0.028,0,0,0,0,hip_roll_r_link,0,-1,0,20,30,-1.45,0.6,,,0.4,0.03,,,,
knee_pitch_r_link,0.0435247482781496,0.00109981803033821,-0.119121777189781,0,0,0,0.882229952732639,0.00106945378629282,-1.93295737150471E-05,-0.000144887833142696,0.00168838276041873,5.15325382707053E-05,0.000713742188906135,0,0,0,0,0,0,package://qmini_description/meshes/knee_pitch_r_link.STL,1,1,1,1,0,0,0,0,0,0,package://qmini_description/meshes/knee_pitch_r_link.STL,,小型双足机器人 右侧腿部总成-1/镜向小型双足机器人-左侧小腿-1;小型双足机器人 右侧腿部总成-1/MOTOR-GO_M8010_6-5,knee_pitch_r,axis_knee_pitch_r,knee_pitch_r,revolute,-0.0739205751139517,0,-0.0880951109586838,0,0,0,hip_pitch_r_link,0,1,0,20,30,-1.05,1.1,,,1,0.01,,,,
